,word,frequency,positive_count
0,play,4.0,2.0
1,video,2.0,0.0
2,know,2.0,0.0
3,miniscule,2.0,0.0
4,details,2.0,0.0
5,mouses,4.0,2.0
6,doesnt,2.0,0.0
7,normal,2.0,0.0
8,day,2.0,0.0
9,work,2.0,0.0
10,good,20.0,4.0
11,ocassional,2.0,0.0
12,gaming,6.0,0.0
13,fine,2.0,0.0
14,durability,2.0,0.0
15,cant,2.0,0.0
16,comment,2.0,0.0
17,havent,2.0,0.0
18,used,2.0,0.0
19,much,6.0,0.0
20,build,2.0,0.0
21,quality,4.0,0.0
22,well,6.0,4.0
23,plastic,2.0,0.0
24,feels,2.0,0.0
25,light,3.0,0.0
26,weight,2.0,0.0
27,way,2.0,0.0
28,wouldnt,2.0,0.0
29,wanna,2.0,0.0
30,drop,2.0,0.0
31,tho,2.0,0.0
32,led,2.0,0.0
33,customisation,2.0,0.0
34,app,2.0,0.0
35,download,2.0,0.0
36,cosmic,3.0,0.0
37,byte,3.0,0.0
38,website,2.0,0.0
39,scroll,4.0,0.0
40,wheel,2.0,0.0
41,logo,2.0,0.0
42,color,2.0,0.0
43,change,2.0,0.0
44,dpi,4.0,0.0
45,mode,3.0,0.0
46,thats,4.0,0.0
47,minus,2.0,0.0
48,point,2.0,0.0
49,negative,2.0,0.0
50,dont,3.0,0.0
51,say,2.0,0.0
52,apart,2.0,0.0
53,things,4.0,0.0
54,box,3.0,0.0
55,came,2.0,0.0
56,without,2.0,0.0
57,seal,3.0,0.0
58,packaging,2.0,0.0
59,huge,2.0,0.0
60,safety,2.0,0.0
61,hazard,2.0,0.0
62,parts,2.0,0.0
63,might,3.0,0.0
64,come,2.0,0.0
65,damaged,2.0,0.0
66,case,2.0,0.0
67,extension,2.0,0.0
68,adapter,2.0,0.0
69,small,2.0,0.0
70,usb,3.0,0.0
71,looking,2.0,0.0
72,thing,2.0,0.0
73,important,2.0,0.0
74,part,2.0,0.0
75,ignore,2.0,0.0
76,like,6.0,0.0
77,excellent,2.0,0.0
78,mouse,16.0,4.0
79,doubthas,2.0,0.0
80,everything,3.0,0.0
81,wireless,11.0,4.0
82,sensor,4.0,0.0
83,also,6.0,0.0
84,pretty,4.0,2.0
85,decentbut,2.0,0.0
86,dor,2.0,0.0
87,fingertip,4.0,0.0
88,gripit,2.0,0.0
89,shine,2.0,0.0
90,palm,2.0,0.0
91,gripi,2.0,0.0
92,regret,2.0,0.0
93,buying,2.0,0.0
94,watching,2.0,0.0
95,youtube,2.0,0.0
96,reviewsthis,2.0,0.0
97,shape,4.0,0.0
98,suited,2.0,0.0
99,gripif,2.0,0.0
100,wrist,4.0,0.0
101,player,2.0,0.0
102,go,5.0,0.0
103,g,7.0,0.0
104,budget,3.0,0.0
105,cooler,2.0,0.0
106,master,2.0,0.0
107,cmthose,2.0,0.0
108,better,6.0,0.0
109,players,2.0,0.0
110,actually,2.0,0.0
111,getting,3.0,0.0
112,logitech,3.0,0.0
113,pro,2.0,0.0
114,price,3.0,0.0
115,producted,2.0,2.0
116,late,2.0,2.0
117,model,3.0,2.0
118,superb,2.0,2.0
119,using,7.0,4.0
120,thought,3.0,2.0
121,mouseboth,2.0,2.0
122,left,2.0,2.0
123,right,3.0,2.0
124,handersim,2.0,2.0
125,csgo,3.0,2.0
126,love,4.0,4.0
127,itused,2.0,2.0
128,lightweight,2.0,2.0
129,honeycomb,3.0,2.0
130,wired,4.0,2.0
131,b,2.0,2.0
132,par,2.0,2.0
133,working,5.0,0.0
134,great,1.0,0.0
135,first,2.0,0.0
136,months,1.0,0.0
137,noticed,1.0,0.0
138,scrolling,1.0,0.0
139,issues,1.0,0.0
140,waited,1.0,0.0
141,month,1.0,0.0
142,see,1.0,0.0
143,laptop,1.0,0.0
144,issue,2.0,0.0
145,checked,2.0,0.0
146,multiple,1.0,0.0
147,laptops,1.0,0.0
148,desktops,1.0,0.0
149,realised,1.0,0.0
150,wasnt,1.0,0.0
151,properly,1.0,0.0
152,sent,2.0,0.0
153,product,3.0,0.0
154,rma,1.0,0.0
155,quite,1.0,0.0
156,fast,2.0,0.0
157,said,1.0,0.0
158,didnt,2.0,0.0
159,find,1.0,0.0
160,back,1.0,0.0
161,stuck,1.0,0.0
162,whose,1.0,0.0
163,isnt,1.0,0.0
164,hasnt,1.0,0.0
165,even,1.0,0.0
166,year,2.0,0.0
167,yet,1.0,0.0
168,risk,1.0,0.0
169,warranty,1.0,0.0
170,support,1.0,0.0
171,garbage,1.0,0.0
