,word,frequency,positive_count
242,use,2.0,0.0
243,hz,1.0,0.0
244,everyday,1.0,0.0
245,gamingthe,1.0,0.0
246,cable,1.0,0.0
247,given,1.0,0.0
248,qualityoverall,1.0,0.0
249,outstanding,1.0,0.0
250,want,1.0,0.0
251,costs,1.0,0.0
252,excellent,1.0,0.0
253,doubthas,1.0,0.0
254,everything,1.0,0.0
255,decentbut,1.0,0.0
256,dor,1.0,0.0
257,fingertip,2.0,0.0
258,gripit,1.0,0.0
259,shine,1.0,0.0
260,palm,1.0,0.0
261,gripi,1.0,0.0
262,regret,1.0,0.0
263,buying,1.0,0.0
264,watching,1.0,0.0
265,youtube,1.0,0.0
266,reviewsthis,1.0,0.0
267,shape,2.0,0.0
268,suited,1.0,0.0
269,gripif,1.0,0.0
270,wrist,2.0,0.0
271,player,1.0,0.0
272,cooler,1.0,0.0
273,master,1.0,0.0
274,cmthose,1.0,0.0
275,players,1.0,0.0
