,word
0,play
1,video
2,know
3,miniscule
4,details
5,mouses
6,doesnt
7,normal
8,day
9,work
10,good
11,ocassional
12,gaming
13,fine
14,durability
15,cant
16,comment
17,havent
18,used
19,much
20,build
21,quality
22,well
23,good
24,plastic
25,feels
26,light
27,weight
28,good
29,way
30,wouldnt
31,wanna
32,drop
33,tho
34,led
35,customisation
36,app
37,download
38,cosmic
39,byte
40,website
41,scroll
42,wheel
43,logo
44,color
45,change
46,dpi
47,mode
48,thats
49,minus
50,point
51,negative
52,dont
53,much
54,say
55,apart
56,things
57,box
58,came
59,without
60,seal
61,packaging
62,huge
63,safety
64,hazard
65,parts
66,might
67,come
68,damaged
69,case
70,extension
71,adapter
72,small
73,usb
74,looking
75,thing
76,important
77,part
78,ignore
79,things
80,like
81,excellent
82,mouse
83,thats
84,doubthas
85,everything
86,wireless
87,gaming
88,mouse
89,sensor
90,also
91,pretty
92,decentbut
93,dor
94,fingertip
95,gripit
96,shine
97,palm
98,gripi
99,regret
100,buying
101,watching
102,youtube
103,reviewsthis
104,shape
105,suited
106,fingertip
107,gripif
108,wrist
109,player
110,like
111,go
112,g
113,wireless
114,g
115,budget
116,cooler
117,master
118,cmthose
119,much
120,better
121,shape
122,wrist
123,players
124,actually
125,getting
126,logitech
127,g
128,pro
129,price
130,good
131,producted
132,late
133,model
134,mouse
135,wireless
136,superb
137,using
138,well
139,well
140,thought
141,mouseboth
142,left
143,right
144,handersim
145,using
146,play
147,csgo
148,love
149,itused
150,pretty
151,good
152,lightweight
153,honeycomb
154,wired
155,mouses
156,b
157,wireless
158,mouse
159,par
160,love
161,play
162,video
163,mouse
164,working
165,great
166,first
167,months
168,noticed
169,scrolling
170,issues
171,waited
172,month
173,see
174,laptop
175,issue
176,checked
177,multiple
178,laptops
179,desktops
180,realised
181,mouse
182,scroll
183,wasnt
184,working
185,properly
186,sent
187,product
188,rma
189,quite
190,fast
191,said
192,checked
193,product
194,didnt
195,find
196,issue
197,sent
198,right
199,back
200,stuck
201,mouse
202,whose
203,scroll
204,isnt
205,working
206,hasnt
207,even
208,year
209,yet
210,go
211,product
212,risk
213,cosmic
214,byte
215,warranty
216,support
217,garbage
218,know
219,miniscule
220,details
221,mouses
222,doesnt
223,normal
224,day
225,work
226,good
227,ocassional
228,gaming
229,fine
230,durability
231,cant
232,comment
233,havent
234,used
235,much
236,build
237,quality
238,well
239,good
240,plastic
241,feels
242,light
243,weight
244,good
245,way
246,wouldnt
247,wanna
248,drop
249,tho
250,led
251,customisation
252,app
253,download
254,cosmic
255,byte
256,website
257,scroll
258,wheel
259,logo
260,color
261,change
262,dpi
263,mode
264,thats
265,minus
266,point
267,negative
268,dont
269,much
270,say
271,apart
272,things
273,box
274,came
275,without
276,seal
277,packaging
278,huge
279,safety
280,hazard
281,parts
282,might
283,come
284,damaged
285,case
286,extension
287,adapter
288,small
289,usb
290,looking
291,thing
292,important
293,part
294,ignore
295,things
296,like
297,budget
298,mice
299,seemed
300,good
301,planning
302,buy
303,playing
304,online
305,competitive
306,games
307,like
308,valorant
309,csgo
310,overwatch
311,etc
312,better
313,look
314,better
315,options
316,suitable
317,playing
318,better
319,options
320,go
321,forin
322,regard
323,mice
324,seems
325,good
326,also
327,gaming
328,one
329,living
330,expected
331,expectations
332,delivered
333,time
334,packing
335,simple
336,box
337,seal
338,packagingconnection
339,fast
340,easy
341,software
342,interface
343,easy
344,customizationconfigurationalthough
345,hand
346,users
347,need
348,ergonomic
349,design
350,better
351,grip
352,using
353,logitec
354,previously
355,ergonomicchances
356,getting
357,clickpress
358,another
359,side
360,button
361,accidentallyflick
362,shots
363,good
364,valorantcsgorgb
365,lights
366,good
367,wing
368,wireless
369,mode
370,rgb
371,lights
372,mouse
373,movements
374,works
375,continuously
376,wired
377,modehoneycomb
378,design
379,goodconnector
380,looks
381,torn
382,please
383,check
384,yourscable
385,adequate
386,long
387,light
388,weightoverall
389,good
390,definatly
391,considered
392,best
393,wireless
394,gaming
395,mouse
396,price
397,range
398,sensor
399,really
400,good
401,nice
402,rgb
403,comfortable
404,looks
405,like
406,glorious
407,model
408,od
409,meant
410,medium
411,large
412,hands
413,quality
414,also
415,good
416,using
417,mouse
418,almost
419,year
420,really
421,enjoyed
422,first
423,thought
424,honeycomb
425,pattern
426,really
427,good
428,trust
429,guys
430,really
431,good
432,makes
433,mouse
434,feel
