,word
0,everything
1,good
2,smooth
3,good
4,camera
5,specially
6,mp
7,macro
8,good
9,price
10,good
11,battery
12,easily
13,lasts
14,day
15,comes
16,watt
17,charger
18,display
19,good
20,supports
21,hz
22,display
23,quality
24,good
25,thing
26,better
27,could
28,amoled
29,got
30,k
31,discounts
32,offer
33,best
34,value
35,money
36,good
37,working
38,time
39,phone
40,hanging
41,first
42,everything
43,good
44,smooth
45,good
46,camera
47,specially
48,mp
49,macro
50,good
51,price
52,good
53,battery
54,easily
55,lasts
56,day
57,comes
58,watt
59,charger
60,display
61,good
62,supports
63,hz
64,display
65,quality
66,good
67,thing
68,better
69,could
70,amoled
71,got
72,k
73,discounts
74,offer
75,best
76,value
77,money
78,good
79,working
80,time
81,phone
82,hanging
83,first
84,wont
85,recomment
86,r
87,comfortable
88,g
89,mobile
90,handsetthis
91,best
92,option
93,everyone
94,k
95,budget
96,like
97,im
98,writing
99,year
100,working
101,fine
102,lil
103,heat
104,issues
105,battery
106,draining
107,recently
108,camera
109,stopped
110,working
111,latest
112,software
113,update
114,xiaomi
115,service
116,center
117,said
118,motherboard
119,issue
120,asked
121,k
122,using
123,without
124,camera
125,month
126,suddenly
127,day
128,phone
129,died
130,redmi
131,products
132,works
133,year
134,dont
135,buy
136,customer
137,care
138,bad
139,replace
140,item
141,bad
142,experience
143,phone
144,front
145,camera
146,problem
147,even
148,redmi
149,accepted
150,mobiles
151,front
152,camera
153,stopped
154,working
155,completely
156,warranty
157,period
158,service
159,centre
160,asking
161,rs
162,repairapart
163,phone
164,good
165,every
166,thing
167,fine
168,one
169,fine
170,day
171,front
172,camera
173,working
174,realised
175,warranty
176,overdue
177,processor
178,issue
179,phone
180,waste
181,one
182,year
183,purchase
184,year
185,smooth
186,working
187,suddenly
188,switched
189,never
190,power
191,everything
192,good
193,smooth
194,good
195,camera
196,specially
197,mp
198,macro
199,good
200,price
201,good
202,battery
203,easily
204,lasts
205,day
206,comes
207,watt
208,charger
209,display
210,good
211,supports
212,hz
213,display
214,quality
215,good
216,thing
217,better
218,could
219,amoled
220,got
221,k
222,discounts
223,offer
224,best
225,value
226,money
227,good
228,working
229,time
230,phone
231,hanging
232,first
233,wont
234,recomment
235,r
236,comfortable
237,g
238,mobile
239,handsetthis
240,best
241,option
242,everyone
243,k
244,budget
245,like
246,please
247,dont
248,buy
249,redmi
250,phonesthey
251,removing
252,software
253,updatelike
254,fingerprint
255,cameras
256,displays
257,damagesvery
258,disappointed
259,phonethe
260,worst
261,phone
262,ever
263,usedi
264,many
265,brand
266,phones
267,worst
268,brand
269,redmi
270,feedback
271,poori
272,satisfied
273,nice
274,camera
275,nice
276,design
277,nice
278,colour
279,nice
280,finish
281,sound
282,system
283,good
284,super
285,phone
286,paise
287,west
288,good
289,mobile
290,working
291,fast
292,bugs
293,irritate
294,camera
295,good
296,time
297,perfect
298,battery
299,backup
300,bad
301,doesnt
302,stay
303,even
304,half
305,day
306,moderate
307,using
308,phone
309,started
310,hang
311,first
312,day
313,usage
314,disappointed
315,good
316,mobile
317,redmi
318,pro
319,max
320,best
321,mobile
322,camera
323,battery
324,long
325,life
326,good
327,mobile
328,mobile
329,value
330,moneybattery
331,life
332,goodsimple
333,looks
334,without
335,changes
336,privious
337,launched
338,mobilecamra
339,ok
340,good
341,dont
342,buy
343,mobile
344,sal
345,use
346,karne
347,k
348,baad
349,mobile
350,totally
351,dead
352,ho
353,gayamein
354,baad
355,mein
356,services
357,center
358,geya
359,mujhe
360,bole
361,cpu
362,damaged
363,ho
364,gayemein
365,full
366,care
367,mein
368,mobile
369,rakh
370,ta
371,tha
372,phir
373,bhi
374,mere
375,saath
376,aise
377,huya
378,plz
379,dont
380,buy
381,redmi
382,phonerepair
383,hone
384,k
385,baad
386,kou
387,guaranty
388,nehi
389,dia
390,ki
391,kitna
392,aur
393,chalegamera
394,redmi
395,pe
396,trust
397,khatam
398,ho
399,gaya
400,camera
401,doesnt
402,work
403,year
404,use
405,glitches
406,please
407,dont
408,buy
409,redmi
410,phonesthey
411,removing
412,software
413,updatelike
414,fingerprint
415,cameras
416,displays
417,damagesvery
418,disappointed
419,phonethe
420,worst
421,phone
422,ever
423,usedi
424,many
425,brand
426,phones
427,worst
428,brand
429,redmi
430,feedback
431,poori
432,satisfied
433,nice
434,camera
435,nice
436,design
437,nice
438,colour
439,nice
440,finish
441,sound
442,system
443,good
444,super
445,phone
446,paise
447,west
448,good
449,mobile
450,working
451,fast
452,bugs
453,irritate
454,camera
455,good
456,time
457,perfect
458,battery
459,backup
460,bad
461,doesnt
462,stay
463,even
464,half
465,day
466,moderate
467,using
468,phone
469,started
470,hang
471,first
472,day
473,usage
474,disappointed
475,good
476,mobile
477,redmi
478,pro
479,max
480,best
481,mobile
482,camera
483,battery
484,long
485,life
486,good
487,mobile
488,piece
489,sht
490,dont
491,buy
492,really
493,slow
494,sometimes
495,ut
496,takes
497,min
498,make
499,payment
500,upi
501,took
502,time
503,mw
504,realize
505,slow
506,light
507,user
508,crossed
509,returns
510,period
511,screen
512,shakes
513,every
514,time
515,hang
516,every
517,time
518,working
519,slow
520,battery
521,mah
522,performance
523,like
524,mah
525,camera
526,highlights
527,mp
528,performance
529,like
530,mp
531,camera
532,half
533,year
534,front
535,camera
536,working
537,ask
538,service
539,center
540,board
541,problem
542,able
543,solve
544,problem
545,recommended
546,buy
547,new
548,phone
549,instead
550,repairing
551,phonenot
552,decide
553,buy
554,front
555,camera
556,stopped
557,working
558,exactly
559,months
560,year
561,warranty
562,wont
563,reccomend
564,phone
565,anyonethe
566,front
567,camera
568,stopped
569,functioning
570,warranty
571,period
572,th
573,month
574,company
575,extended
576,one
577,year
578,warranty
579,month
580,mosy
581,users
582,faced
583,problems
584,back
585,camera
586,quality
587,really
588,bad
589,normal
590,lighting
591,also
592,battery
593,issues
594,within
595,year
596,hence
597,got
598,know
599,motherboard
600,damaged
601,poor
602,quality
603,dont
604,go
605,redmi
606,dont
607,buy
608,redmi
609,phones
610,update
611,camera
612,stopped
613,working
614,theyre
615,charging
616,bad
617,choice
618,phone
619,brand
620,phone
621,huge
622,problem
623,camera
624,phones
625,front
626,camera
627,working
628,weather
629,use
630,monthsplease
631,dont
632,buy
633,chinese
634,phone
635,human
636,colour
637,totally
638,different
639,written
640,months
641,daily
642,use
643,def
644,recommended
645,humble
646,peasants
647,review
648,aimed
649,collegegoers
650,students
651,general
652,yall
653,get
654,review
655,age
656,group
657,know
658,meets
659,needs
660,notfirst
661,must
662,emphasize
663,review
664,based
665,experience
666,device
667,yearold
668,user
669,age
670,average
671,uses
672,probably
673,cover
674,gaming
675,pretending
676,study
677,social
678,media
679,casual
680,browsing
681,innitrespectively
682,lets
683,go
684,one
685,onethese
686,days
687,buying
688,new
689,android
690,smartphone
691,take
692,comparison
693,videos
694,unboxing
695,views
696,reviews
697,performance
698,videos
699,youtube
700,decide
701,top
702,choices
703,nearly
704,two
705,months
706,obsessively
707,camping
708,youtube
709,thirsting
710,potential
711,new
712,smartphones
713,choices
714,redmi
715,note
716,love
717,boxy
718,design
719,redmi
720,note
721,pro
722,mp
723,camera
724,one
725,redmi
726,note
727,pro
728,max
729,mp
730,camerawhat
731,made
732,pick
733,model
734,particular
735,note
736,pro
737,max
738,mp
739,camera
740,series
741,foreign
742,counterpart
743,without
744,max
745,name
746,indians
747,get
748,mp
749,variant
750,pro
751,abroad
752,get
753,mp
754,variant
755,pro
756,subtle
757,difference
758,made
759,go
760,pro
761,max
762,proper
763,equivalent
764,pro
765,get
766,overseasother
767,camera
768,part
769,pro
770,max
771,way
772,different
773,compared
774,pro
775,write
776,downaight
777,chattering
778,ill
779,precise
780,specificappearance
781,durability
782,smooth
783,sexy
784,shiny
785,somewhat
786,resistant
787,finger
788,impressions
789,matte
790,finish
791,models
792,like
793,glacial
794,blue
795,bronze
796,though
797,black
798,unmistakably
799,take
800,finger
801,impression
802,like
803,giving
804,biometrics
805,aadhaar
806,card
807,appearancewise
808,youll
809,get
810,total
811,hottie
812,classic
813,beauty
814,hard
815,time
816,choosing
817,black
818,blue
819,went
820,blue
821,dont
822,regret
823,itdurability
824,dropped
825,flat
826,back
827,busy
828,market
829,road
830,first
831,day
832,survived
833,zero
834,scratches
835,hallelujah
836,dhowever
837,keep
838,mind
839,pro
840,pro
841,max
842,delicate
843,devices
844,miserably
845,failed
846,durability
847,test
848,quickly
849,disappoint
850,parents
851,please
852,dont
853,try
854,flaunt
855,use
856,phone
857,cases
858,performance
859,argh
860,miui
861,pain
862,sometimes
