,word,frequency,positive_count
0,battery,5.0,0.0
1,lasted,2.0,0.0
2,days,9.0,0.0
3,without,2.0,0.0
4,chargeif,2.0,0.0
5,want,2.0,0.0
6,use,5.0,0.0
7,charging,2.0,0.0
8,need,2.0,0.0
9,leave,2.0,0.0
10,wireless,2.0,0.0
11,module,2.0,0.0
12,connected,2.0,0.0
13,charge,9.0,0.0
14,even,5.0,0.0
15,external,2.0,0.0
16,adaptor,2.0,0.0
17,uselighting,2.0,0.0
18,decent,2.0,0.0
19,worth,4.0,0.0
20,buying,2.0,0.0
21,mouse,10.0,0.0
22,overall,1.0,0.0
23,good,4.0,1.0
24,still,1.0,0.0
25,great,1.0,0.0
26,usp,1.0,0.0
27,four,1.0,0.0
28,hour,1.0,0.0
29,like,1.0,0.0
30,highest,1.0,0.0
31,dpi,1.0,0.0
32,one,1.0,0.0
33,major,1.0,0.0
34,weaknesss,1.0,0.0
35,scroll,1.0,0.0
36,button,1.0,0.0
37,showing,3.0,0.0
38,irritable,1.0,0.0
39,behaviour,1.0,0.0
40,operation,1.0,0.0
41,cant,1.0,0.0
42,scross,1.0,0.0
43,properly,3.0,0.0
44,using,7.0,1.0
45,months,4.0,0.0
46,started,2.0,0.0
47,lags,2.0,0.0
48,errors,2.0,0.0
49,loved,2.0,0.0
50,product,4.0,0.0
51,two,4.0,0.0
52,half,2.0,0.0
53,weeks,2.0,0.0
54,since,2.0,0.0
55,bought,4.0,0.0
56,didnt,4.0,0.0
57,yet,2.0,0.0
58,go,4.0,0.0
59,money,2.0,0.0
60,put,2.0,0.0
61,comfortable,2.0,0.0
62,budget,2.0,0.0
63,past,2.0,0.0
64,sensor,2.0,0.0
65,malfunctioning,2.0,0.0
66,working,8.0,0.0
67,ago,2.0,0.0
68,worked,2.0,0.0
69,pretty,2.0,0.0
70,well,2.0,0.0
71,week,2.0,0.0
72,stopped,2.0,0.0
73,completely,2.0,0.0
74,trying,2.0,0.0
75,multiple,2.0,0.0
76,times,2.0,0.0
77,stops,2.0,0.0
78,pointer,2.0,0.0
79,goes,2.0,0.0
80,every,2.0,0.0
81,minutes,2.0,0.0
82,whether,2.0,0.0
83,continuously,2.0,0.0
84,hence,2.0,0.0
85,able,2.0,0.0
86,work,2.0,0.0
87,purchased,2.0,0.0
88,years,2.0,0.0
89,back,2.0,0.0
90,also,2.0,0.0
91,think,2.0,0.0
92,fault,2.0,0.0
93,products,2.0,0.0
94,got,2.0,0.0
95,broke,2.0,0.0
96,buy,2.0,0.0
97,item,2.0,0.0
98,damaged,2.0,0.0
99,automatically,2.0,0.0
100,rgb,2.0,0.0
101,destroyed,2.0,0.0
102,moving,2.0,0.0
103,cursorso,2.0,0.0
104,kindly,2.0,0.0
105,take,2.0,0.0
106,bac,2.0,0.0
107,gaming,2.0,2.0
108,perfect,1.0,1.0
109,kid,1.0,1.0
110,liked,1.0,1.0
